Frage;Antwort;Block;Quelle
Was bedeutet TRF?;Tun – Retten – Frei machen (Reihenfolge: Sichern, dann Retten, dann Befreien);LF-I-Basiskompetenzen;Kommentar S. 9
Was ist Eigenschutz?;Maßnahmen, die den Helfer selbst schützen, bevor er den Patienten versorgt (Handschuhe, Absichern);LF-I-Basiskompetenzen;Kommentar S. 8
Was ist BSI?;Body Substance Isolation = Schutz vor Körperflüssigkeiten (Handschuhe, Mundschutz);LF-I-Basiskompetenzen;Kommentar S. 8
Was sind die 5 W's beim Notruf?;Wo, Was, Wie viele, Welche Verletzungen, Warten auf Rückfragen;LF-I-Basiskompetenzen;Kommentar S. 9
Welche Nummer hat der Notruf in Deutschland?;112 (kostenlos, auch vom Mobiltelefon);LF-I-Basiskompetenzen;Kommentar S. 9
Was ist BOS-Funk?;Funk der Behörden und Organisationen mit Sicherheitsaufgaben (z.B. Rettungsdienst, Polizei, Feuerwehr);LF-I-Basiskompetenzen;Kommentar S. 9
Welche Rettungsmittel gibt es?;KTW (Krankentransportwagen), RTW (Rettungstransportwagen), NAW (Notarztwagen), NEF (Notarzteinsatzfahrzeug), RTH (Rettungshubschrauber);LF-I-Basiskompetenzen;Kommentar S. 9
Was bedeutet SAMPLER?;Symptoms, Allergies, Medications, Past medical history, Last oral intake, Events, Risk factors;LF-I-Basiskompetenzen;Kommentar S. 10
Was bedeutet SAMMELN?;Symptome, Allergien, Medizinische Vorgeschichte, Medikamente, Essen, Letzte Ausscheidungen, Neuartige Beschwerden;LF-I-Basiskompetenzen;Kommentar S. 10
Was ist das PAKET?;Patientencheck, Anamnese, Kontrolle (Vitalzeichen), Entscheidung (Notarzt?), Therapie;LF-I-Basiskompetenzen;Kommentar S. 10
Welche Maßnahmen gehören zum PAKET?;Kontrolle der Vitalfunktionen, Notruf, Eigenwärme erhalten, Psychische Erste Hilfe (4-S-Regel);LF-I-Basiskompetenzen;Kommentar S. 10
Was ist die 4-S-Regel?;Sagen, dass man da ist (Sicherheit), Schützen vor Zuschauern, Schirmen ab gegen Kälte, Sorgen für Ruhe;LF-I-Basiskompetenzen;Kommentar S. 10
Was ist das ABCDE-Schema?;Airway (Atemwege), Breathing (Atmung), Circulation (Kreislauf), Disability (Neurologie), Expose (Entkleiden/Wärmeerhalt);LF-I-Basiskompetenzen;Kommentar S. 8
Was gilt allgemein beim ABCDE-Schema?;Was den Patienten am meisten gefährdet, wird zuerst behandelt. Eigene Grenzen erkennen, frühzeitig Hilfe anfordern.;LF-I-Basiskompetenzen;Kommentar S. 8
Wie wird ein Patient entkleidet (schwere Verletzung)?;Kleiderschere seitlich der Verletzung führen, nur mit den ersten zwei Dritteln schneiden, Verletzung bedeckende Kleidung anheben;LF-I-Basiskompetenzen;Kommentar S. 26
Wie wird ein Patient entkleidet (leichte Verletzung)?;Verletzten um Unterstützung bitten, ggf. Bruch unter leichtem Zug halten, immer zuerst gesunde, dann verletzte Seite;LF-I-Basiskompetenzen;Kommentar S. 26
Wann wird ein Bodycheck durchgeführt?;Sobald eine Verletzung nicht eindeutig ausgeschlossen werden kann, sowie bei jedem Bewusstlosen nach stabiler Seitenlage;LF-I-Basiskompetenzen;Kommentar S. 26
Was wird beim Bodycheck abgetastet?;Kopf/Hals, Brustkorb, Bauch/Becken, beide Arme, beide Beine. Auf Hautfarbe, Schmerz, Blutungen, Deformierungen, Beweglichkeit achten.;LF-I-Basiskompetenzen;Kommentar S. 26
Wann werden hygienische Händedesinfektionen durchgeführt?;Vor Arbeitsbeginn, vor Patientenkontakt, vor Wundversorgung, danach, bei Dienstschluss, nach Toilette, nach Naseputzen;LF-I-Basiskompetenzen;Kommentar S. 8
Welche Reihenfolge gilt bei der Händehygiene?;Händedesinfektion vor/nach Patientenkontakt: Hände waschen, trocknen, desinfizieren, Einwirkzeit beachten;LF-I-Basiskompetenzen;Kommentar S. 8
Welche Übergabe-Informationen gehören in den Notruf/Einsatz?;Notfallgeschehen, Feststellungen/Beobachtungen, Vorerkrankungen, Vitalwerte und Verlauf, getroffene Maßnahmen;LF-I-Basiskompetenzen;Kommentar S. 11
Wie wird Wärmeerhalt bei der Eigenwärme durchgeführt?;Rettungsdecke auslegen, Wolldecke diagonal fächerförmig falten, Patienten drehen, Decke unterschieben, über Patienten legen;LF-I-Basiskompetenzen;Kommentar S. 10
Was sind die 3 Hautschichten?;Oberhaut, Lederhaut (mit Talg-/Schweißdrüsen, kleinen Blutgefäßen), Unterhaut (größere Blutgefäße, Nerven, Fettgewebe);LF-IV-Verletzt;Kommentar S. 25
Welche Aufgaben hat die Haut?;Schutz vor Austrocknung/Verletzungen/Krankheitserregern/Strahlung, Sinnesorgan, Wärmeisolierung, Wärmeregulation;LF-IV-Verletzt;Kommentar S. 25
Welche Arten mechanischer Wunden gibt es?;Schürfwunde, Platzwunde, Schnittwunde, Quetschwunde, Risswunde, Bisswunde, Stich-/Schusswunde, Ablederung, Pfählung, Amputation;LF-IV-Verletzt;Kommentar S. 25
Was kennzeichnet eine Schürfwunde?;Betrifft vorwiegend die Oberhaut (keine Blutgefäße), Blutung gering, später starkes Nässen;LF-IV-Verletzt;Kommentar S. 25
Was kennzeichnet eine Platzwunde?;Stumpfe Gewalteinwirkung, vor allem an Stellen über Knochen (Augenbraue, Kinn, Stirn);LF-IV-Verletzt;Kommentar S. 25
Was kennzeichnet eine Schnittwunde?;Kann alle Gewebsschichten bis zum Knochen betreffen, starke Blutung, klaffende Wunde mit glatten Rändern;LF-IV-Verletzt;Kommentar S. 25
Was kennzeichnet eine Stich-/Schusswunde?;Blutung nach außen oft gering, in der Tiefe teils erheblich (Gefäß-/Organverletzung), evtl. Ein- und Austrittswunde;LF-IV-Verletzt;Kommentar S. 26
Was kennzeichnet eine Bisswunde?;Verletzungsmuster von Quetsch-/Stich-/Risswunden, besondere Infektionsgefahr;LF-IV-Verletzt;Kommentar S. 26
Welche Gefahren bestehen bei einer Wunde?;Blutung, Schmerz, Infektion (können zusätzlich zum Schock führen);LF-IV-Verletzt;Kommentar S. 25
Welche lokalen Entzündungszeichen gibt es?;Schwellung, Rötung, Erwärmung, Schmerz, eitriger Ausfluss;LF-IV-Verletzt;Kommentar S. 27
Welche Regeln gelten für die Wundversorgung?;Eigenschutz (Handschuhe), Lagerung, Blutstillung, Wunde keimfrei verbinden, in ursprünglichem Zustand belassen, max. 6 Std. Arztvorstellung;LF-IV-Verletzt;Kommentar S. 27
Welche Mittel dürfen nicht in eine Wunde?;Keine Puder, Salben, Sprays, Hausmittel anwenden;LF-IV-Verletzt;Kommentar S. 27
Welche Materialien werden für einen keimfreien Verband benötigt?;Sterile Wundauflage (Kompressen, Verbandtücher) und Befestigungsmittel (Heftpflaster, Fixierbinde, Dreiecktuch, Netzverband);LF-IV-Verletzt;Kommentar S. 27
Wie werden Fremdkörper in Wunden versorgt?;Festsitzende Fremdkörper verbleiben in der Wunde, kleine lockere (Zecken, Dornen) werden entfernt, keimarmes Bedecken;LF-IV-Verletzt;Kommentar S. 28
Was ist bei Fremdkörperentfernung zu beachten?;Risiko stärkerer Blutung, Schmerzen, unklarer Stichkanal, weitere Verletzungen, Reste in der Wunde;LF-IV-Verletzt;Kommentar S. 28
Wie wird ein Fremdkörper im Auge (Oberlid) entfernt?;Oberlid über das Unterlid ziehen und Wimpern des Unterlids auswischen lassen;LF-IV-Verletzt;Kommentar S. 28
Wie wird ein Fremdkörper im Ohr versorgt?;Nur vom Arzt entfernen lassen;LF-IV-Verletzt;Kommentar S. 28
Was ist die wichtigste Sofortmaßnahme bei bedrohlicher Blutung?;Blutstillung durch Druck auf die Wunde – das rettet Leben!;LF-IV-Verletzt;Kommentar S. 28
Wie wird eine bedrohliche Blutung an Arm/Bein/Kopf versorgt?;Patient hinlegen, Körperteil hochhalten, keimarmes Material aufpressen, Druckverband mit Dreiecktuch/Verbandpäckchen;LF-IV-Verletzt;Kommentar S. 28
Wie wird eine bedrohliche Blutung an Hals/Rumpf versorgt?;Aufpressen von keimarmem Material, Wunde zuhalten;LF-IV-Verletzt;Kommentar S. 28
Wann ist Abbinden (Tourniquet) als letztes Mittel angezeigt?;Großflächige stark blutende Wunde, stark blutende Wunde mit Fremdkörper, offener Knochenbruch mit starker Blutung, Gliedmaßenabriss;LF-IV-Verletzt;Kommentar S. 28
Wo wird ein Tourniquet angelegt?;Eine Handbreit von Achsel/Leiste am Oberarm/Oberschenkel, nie im Bereich eines Gelenks;LF-IV-Verletzt;Kommentar S. 29
Welche Gefahren hat eine Abbindung?;Ansäuerung des Blutes, Thrombenbildung, erschwerte Replantation, Absterben von Gewebe über den Wundbereich hinaus;LF-IV-Verletzt;Kommentar S. 28
Wie wird Nasenbluten versorgt?;Sitzende Lagerung, Kopf vorbeugen, Nasenflügel zusammendrücken;LF-IV-Verletzt;Kommentar S. 29
Wie werden Verbrennungen/Verbrühungen gekühlt?;Kleinflächige Verbrennungen mit Wasser zur Schmerzlinderung, bei Kindern keine langfristige Kühlung, keine Kühlung am Rumpf (Unterkühlungsgefahr);LF-IV-Verletzt;Kommentar S. 30
Welche 3 Verbrennungsgrade gibt es?;1. Grad: Rötung, 2. Grad: zusätzlich Blasenbildung, 3. Grad: Gewebszerstörung (ggf. Verkohlung);LF-IV-Verletzt;Kommentar S. 29
Welche Bereiche umfasst die 9er-Regel (Erwachsener)?;Kopf 9 %, Arme je 9 %, Rumpf vorne/hinten je 18 %, Beine je 18 %, Genitalbereich 1 %;LF-IV-Verletzt;Kommentar S. 25 + Anhang S. 47
Wie wird ein ausgeschlagener Zahn versorgt?;In Zahnrettungsbox geben oder in feuchte Kompresse wickeln, zum Zahnarzt mitgeben;LF-IV-Verletzt;Kommentar S. 29
Welche Ursachen für innere Blutungen gibt es?;Stich-/Schussverletzung, Organverletzung, Frakturen, Gefäßeinriss, Magen-Darm-Blutung, Brustkorbverletzung, Gerinnungsstörungen;LF-IV-Verletzt;Kommentar S. 29
Welche Erkennungszeichen gibt es bei inneren Blutungen?;Rückschlüsse aus Anamnese, Schocksymptomatik, brettharte Bauchdecke, Bluterbrechen, Blutung aus After/Genital, Umfangvergrößerung;LF-IV-Verletzt;Kommentar S. 29
Wie werden Erfrierungen versorgt?;Unterkühlungsbekämpfung hat Vorrang, keimarmen druckfreien Verband, Berührung vermeiden, bei tiefsten Erfrierungen Watteverband;LF-IV-Verletzt;Kommentar S. 30
Welche Erfrierungsgrade gibt es?;1. Grad: weiße kalte Haut, 2. Grad: zusätzlich Blasenbildung, 3. Grad: abgestorbenes grau-schwarzes Gewebe, irreversible Zerstörung;LF-IV-Verletzt;Kommentar S. 30
Wie werden Verätzungen der Haut versorgt?;Ausgiebig mit Wasser spülen, möglichst wenig unverätzte Stellen benetzen, danach Wundversorgung, PAKET;LF-IV-Verletzt;Kommentar S. 30
Wie werden Augenverätzungen versorgt?;Mindestens 10–15 Min. lauwarmes Wasser in inneren Augenwinkel gießen, dabei Auge nach unten halten, Lider offen halten;LF-IV-Verletzt;Kommentar S. 30
Wie werden Verätzungen der Speisewege versorgt?;Mund ausspülen lassen, nichts trinken lassen, kein Erbrechen auslösen;LF-IV-Verletzt;Kommentar S. 30
Welche sicheren Zeichen für einen Knochenbruch gibt es?;Abnorme Lage, abnorme Beweglichkeit, sichtbare Knochenteile, Knochenreiben (nur als Zufallsbefund);LF-IV-Verletzt;Kommentar S. 32
Welche unsicheren Zeichen für einen Knochenbruch gibt es?;Schmerz, Schwellung, Bluterguss oder Wunde, Bewegungs-/Belastungseinschränkung;LF-IV-Verletzt;Kommentar S. 32
Was ist eine Grünholzfraktur?;Bruch bei Kindern/Jugendlichen, bei der die Knochenhaut intakt bleibt, Bruchenden verschieben sich meist nicht;LF-IV-Verletzt;Kommentar S. 32
